"isono","year","sexno","ageno","eduno","ydr"
56,2075,0,0,0,0.2
56,2080,0,0,0,0.2
56,2085,0,0,0,0.2
56,2090,0,0,0,0.2
56,2095,0,0,0,0.19
56,2100,0,0,0,0.19
64,1970,0,0,0,0.78
64,1975,0,0,0,0.76
64,1980,0,0,0,0.77
64,1985,0,0,0,0.79
64,1990,0,0,0,0.79
64,1995,0,0,0,0.82
64,2000,0,0,0,0.71
64,2005,0,0,0,0.54
64,2010,0,0,0,0.45
64,2015,0,0,0,0.41
64,2020,0,0,0,0.4
64,2025,0,0,0,0.39
64,2030,0,0,0,0.38
64,2035,0,0,0,0.36
64,2040,0,0,0,0.35
64,2045,0,0,0,0.34
64,2050,0,0,0,0.35
64,2055,0,0,0,0.36
64,2060,0,0,0,0.36
64,2065,0,0,0,0.35
64,2070,0,0,0,0.35
64,2075,0,0,0,0.34
64,2080,0,0,0,0.34
64,2085,0,0,0,0.34
64,2090,0,0,0,0.34
64,2095,0,0,0,0.34
64,2100,0,0,0,0.34
68,1970,0,0,0,0.8
68,1975,0,0,0,0.8
68,1980,0,0,0,0.79
68,1985,0,0,0,0.77
68,1990,0,0,0,0.74
68,1995,0,0,0,0.73
68,2000,0,0,0,0.71
68,2005,0,0,0,0.67
68,2010,0,0,0,0.61
68,2015,0,0,0,0.57
68,2020,0,0,0,0.54
68,2025,0,0,0,0.53
68,2030,0,0,0,0.53
68,2035,0,0,0,0.51
68,2040,0,0,0,0.49
68,2045,0,0,0,0.47
68,2050,0,0,0,0.45
68,2055,0,0,0,0.44
68,2060,0,0,0,0.43
68,2065,0,0,0,0.42
68,2070,0,0,0,0.41
68,2075,0,0,0,0.39
68,2080,0,0,0,0.39
68,2085,0,0,0,0.38
68,2090,0,0,0,0.38
68,2095,0,0,0,0.37
68,2100,0,0,0,0.37
70,1970,0,0,0,0.57
70,1975,0,0,0,0.49
70,1980,0,0,0,0.41
70,1985,0,0,0,0.36
70,1990,0,0,0,0.35
70,1995,0,0,0,0.32
70,2000,0,0,0,0.29
70,2005,0,0,0,0.24
70,2010,0,0,0,0.21
70,2015,0,0,0,0.2
70,2020,0,0,0,0.21
70,2025,0,0,0,0.23
70,2030,0,0,0,0.24
70,2035,0,0,0,0.23
70,2040,0,0,0,0.23
70,2045,0,0,0,0.24
70,2050,0,0,0,0.26
70,2055,0,0,0,0.28
70,2060,0,0,0,0.28
70,2065,0,0,0,0.28
70,2070,0,0,0,0.28
70,2075,0,0,0,0.28
70,2080,0,0,0,0.28
70,2085,0,0,0,0.29
70,2090,0,0,0,0.29
70,2095,0,0,0,0.29
70,2100,0,0,0,0.29
72,1970,0,0,0,0.98
72,1975,0,0,0,0.94
72,1980,0,0,0,0.91
72,1985,0,0,0,0.9
72,1990,0,0,0,0.85
72,1995,0,0,0,0.75
72,2000,0,0,0,0.64
72,2005,0,0,0,0.57
72,2010,0,0,0,0.51
72,2015,0,0,0,0.49
72,2020,0,0,0,0.49
72,2025,0,0,0,0.48
72,2030,0,0,0,0.46
72,2035,0,0,0,0.44
72,2040,0,0,0,0.43
72,2045,0,0,0,0.42
72,2050,0,0,0,0.41
72,2055,0,0,0,0.42
72,2060,0,0,0,0.42
72,2065,0,0,0,0.41
72,2070,0,0,0,0.41
72,2075,0,0,0,0.41
72,2080,0,0,0,0.4
72,2085,0,0,0,0.4
72,2090,0,0,0,0.4
72,2095,0,0,0,0.39
72,2100,0,0,0,0.39
76,1970,0,0,0,0.78
76,1975,0,0,0,0.72
76,1980,0,0,0,0.65
76,1985,0,0,0,0.62
76,1990,0,0,0,0.58
76,1995,0,0,0,0.52
76,2000,0,0,0,0.45
76,2005,0,0,0,0.42
76,2010,0,0,0,0.38
76,2015,0,0,0,0.34
76,2020,0,0,0,0.32
76,2025,0,0,0,0.33
76,2030,0,0,0,0.33
76,2035,0,0,0,0.32
76,2040,0,0,0,0.32
76,2045,0,0,0,0.31
76,2050,0,0,0,0.32
76,2055,0,0,0,0.32
76,2060,0,0,0,0.32
76,2065,0,0,0,0.32
76,2070,0,0,0,0.32
76,2075,0,0,0,0.32
76,2080,0,0,0,0.33
76,2085,0,0,0,0.33
76,2090,0,0,0,0.33
76,2095,0,0,0,0.34
76,2100,0,0,0,0.34
84,1970,0,0,0,0.97
84,1975,0,0,0,0.99
84,1980,0,0,0,0.96
84,1985,0,0,0,0.9
84,1990,0,0,0,0.85
84,1995,0,0,0,0.84
84,2000,0,0,0,0.76
84,2005,0,0,0,0.67
84,2010,0,0,0,0.57
84,2015,0,0,0,0.51
84,2020,0,0,0,0.49
84,2025,0,0,0,0.48
84,2030,0,0,0,0.47
84,2035,0,0,0,0.45
84,2040,0,0,0,0.42
84,2045,0,0,0,0.4
84,2050,0,0,0,0.4
84,2055,0,0,0,0.4
84,2060,0,0,0,0.39
84,2065,0,0,0,0.38
84,2070,0,0,0,0.37
84,2075,0,0,0,0.37
84,2080,0,0,0,0.36
84,2085,0,0,0,0.36
84,2090,0,0,0,0.36
84,2095,0,0,0,0.35
84,2100,0,0,0,0.35
90,1970,0,0,0,0.84
90,1975,0,0,0,0.97
90,1980,0,0,0,0.95
90,1985,0,0,0,0.95
90,1990,0,0,0,0.88
90,1995,0,0,0,0.8
90,2000,0,0,0,0.75
90,2005,0,0,0,0.72
90,2010,0,0,0,0.7
90,2015,0,0,0,0.65
90,2020,0,0,0,0.6
90,2025,0,0,0,0.55
90,2030,0,0,0,0.53
90,2035,0,0,0,0.5
90,2040,0,0,0,0.47
90,2045,0,0,0,0.45
90,2050,0,0,0,0.42
90,2055,0,0,0,0.41
90,2060,0,0,0,0.39
90,2065,0,0,0,0.38
90,2070,0,0,0,0.37
90,2075,0,0,0,0.36
90,2080,0,0,0,0.36
90,2085,0,0,0,0.35
90,2090,0,0,0,0.34
90,2095,0,0,0,0.34
90,2100,0,0,0,0.34
96,1970,0,0,0,0.75
96,1975,0,0,0,0.71
96,1980,0,0,0,0.66
96,1985,0,0,0,0.66
96,1990,0,0,0,0.57
96,1995,0,0,0,0.52
96,2000,0,0,0,0.45
96,2005,0,0,0,0.41
96,2010,0,0,0,0.37
96,2015,0,0,0,0.36
96,2020,0,0,0,0.34
96,2025,0,0,0,0.32
96,2030,0,0,0,0.31
96,2035,0,0,0,0.31
96,2040,0,0,0,0.31
96,2045,0,0,0,0.32
96,2050,0,0,0,0.33
96,2055,0,0,0,0.33
96,2060,0,0,0,0.33
96,2065,0,0,0,0.33
96,2070,0,0,0,0.33
96,2075,0,0,0,0.33
96,2080,0,0,0,0.32
96,2085,0,0,0,0.33
96,2090,0,0,0,0.33
96,2095,0,0,0,0.33
96,2100,0,0,0,0.34
100,1970,0,0,0,0.34
100,1975,0,0,0,0.33
100,1980,0,0,0,0.34
100,1985,0,0,0,0.32
100,1990,0,0,0,0.31
100,1995,0,0,0,0.27
100,2000,0,0,0,0.23
100,2005,0,0,0,0.2
100,2010,0,0,0,0.2
100,2015,0,0,0,0.22
100,2020,0,0,0,0.23
100,2025,0,0,0,0.24
100,2030,0,0,0,0.24
100,2035,0,0,0,0.25
100,2040,0,0,0,0.26
100,2045,0,0,0,0.28
100,2050,0,0,0,0.3
100,2055,0,0,0,0.31
100,2060,0,0,0,0.31
100,2065,0,0,0,0.31
100,2070,0,0,0,0.31
100,2075,0,0,0,0.31
100,2080,0,0,0,0.32
100,2085,0,0,0,0.32
100,2090,0,0,0,0.32
100,2095,0,0,0,0.32
100,2100,0,0,0,0.32
104,1970,0,0,0,0.77
104,1975,0,0,0,0.76
104,1980,0,0,0,0.72
104,1985,0,0,0,0.67
104,1990,0,0,0,0.6
104,1995,0,0,0,0.54
104,2000,0,0,0,0.48
104,2005,0,0,0,0.42
104,2010,0,0,0,0.37
104,2015,0,0,0,0.34
104,2020,0,0,0,0.33
104,2025,0,0,0,0.32
104,2030,0,0,0,0.33
104,2035,0,0,0,0.32
104,2040,0,0,0,0.31
104,2045,0,0,0,0.31
104,2050,0,0,0,0.31
104,2055,0,0,0,0.32
104,2060,0,0,0,0.33
104,2065,0,0,0,0.34
104,2070,0,0,0,0.34
104,2075,0,0,0,0.33
104,2080,0,0,0,0.34
104,2085,0,0,0,0.34
104,2090,0,0,0,0.35
104,2095,0,0,0,0.36
104,2100,0,0,0,0.36
108,1970,0,0,0,0.85
108,1975,0,0,0,0.89
108,1980,0,0,0,0.86
108,1985,0,0,0,0.83
108,1990,0,0,0,0.85
108,1995,0,0,0,0.9
108,2000,0,0,0,0.91
108,2005,0,0,0,0.75
108,2010,0,0,0,0.64
108,2015,0,0,0,0.61
108,2020,0,0,0,0.62
108,2025,0,0,0,0.61
108,2030,0,0,0,0.57
108,2035,0,0,0,0.51
108,2040,0,0,0,0.47
108,2045,0,0,0,0.45
108,2050,0,0,0,0.44
108,2055,0,0,0,0.43
108,2060,0,0,0,0.41
108,2065,0,0,0,0.39
108,2070,0,0,0,0.37
108,2075,0,0,0,0.37
108,2080,0,0,0,0.36
108,2085,0,0,0,0.36
108,2090,0,0,0,0.35
108,2095,0,0,0,0.35
108,2100,0,0,0,0.34
112,1970,0,0,0,0.47
112,1975,0,0,0,0.4
112,1980,0,0,0,0.34
112,1985,0,0,0,0.34
112,1990,0,0,0,0.35
112,1995,0,0,0,0.33
112,2000,0,0,0,0.28
112,2005,0,0,0,0.22
112,2010,0,0,0,0.21
112,2015,0,0,0,0.23
112,2020,0,0,0,0.25
112,2025,0,0,0,0.26
112,2030,0,0,0,0.25
112,2035,0,0,0,0.24
112,2040,0,0,0,0.25
112,2045,0,0,0,0.27
112,2050,0,0,0,0.29
112,2055,0,0,0,0.31
112,2060,0,0,0,0.31
112,2065,0,0,0,0.3
112,2070,0,0,0,0.29
112,2075,0,0,0,0.3
112,2080,0,0,0,0.31
112,2085,0,0,0,0.32
112,2090,0,0,0,0.32
112,2095,0,0,0,0.31
112,2100,0,0,0,0.31
116,1970,0,0,0,0.8
116,1975,0,0,0,0.77
116,1980,0,0,0,0.67
116,1985,0,0,0,0.77
116,1990,0,0,0,0.82
116,1995,0,0,0,0.96
116,2000,0,0,0,0.75
116,2005,0,0,0,0.6
116,2010,0,0,0,0.5
116,2015,0,0,0,0.45
116,2020,0,0,0,0.45
116,2025,0,0,0,0.45
116,2030,0,0,0,0.43
116,2035,0,0,0,0.4
116,2040,0,0,0,0.38
116,2045,0,0,0,0.36
116,2050,0,0,0,0.37
116,2055,0,0,0,0.37
116,2060,0,0,0,0.37
116,2065,0,0,0,0.37
116,2070,0,0,0,0.36
116,2075,0,0,0,0.35
116,2080,0,0,0,0.35
116,2085,0,0,0,0.36
116,2090,0,0,0,0.36
116,2095,0,0,0,0.35
116,2100,0,0,0,0.35
120,1970,0,0,0,0.79
120,1975,0,0,0,0.83
120,1980,0,0,0,0.86
120,1985,0,0,0,0.88
120,1990,0,0,0,0.88
120,1995,0,0,0,0.85
120,2000,0,0,0,0.8
120,2005,0,0,0,0.76
120,2010,0,0,0,0.73
120,2015,0,0,0,0.71
120,2020,0,0,0,0.68
120,2025,0,0,0,0.64
120,2030,0,0,0,0.6
120,2035,0,0,0,0.57
120,2040,0,0,0,0.54
120,2045,0,0,0,0.51
120,2050,0,0,0,0.48
120,2055,0,0,0,0.46
120,2060,0,0,0,0.44
120,2065,0,0,0,0.43
120,2070,0,0,0,0.41
120,2075,0,0,0,0.4
120,2080,0,0,0,0.4
120,2085,0,0,0,0.39
120,2090,0,0,0,0.39
120,2095,0,0,0,0.38
120,2100,0,0,0,0.38
124,1970,0,0,0,0.49
124,1975,0,0,0,0.4
124,1980,0,0,0,0.34
124,1985,0,0,0,0.31
124,1990,0,0,0,0.3
124,1995,0,0,0,0.3
124,2000,0,0,0,0.28
124,2005,0,0,0,0.25
124,2010,0,0,0,0.24
124,2015,0,0,0,0.23
124,2020,0,0,0,0.23
124,2025,0,0,0,0.23
124,2030,0,0,0,0.22
124,2035,0,0,0,0.21
124,2040,0,0,0,0.2
124,2045,0,0,0,0.2
124,2050,0,0,0,0.2
124,2055,0,0,0,0.2
124,2060,0,0,0,0.2
124,2065,0,0,0,0.2
124,2070,0,0,0,0.2
124,2075,0,0,0,0.19
124,2080,0,0,0,0.19
124,2085,0,0,0,0.2
124,2090,0,0,0,0.2
124,2095,0,0,0,0.2
124,2100,0,0,0,0.19
132,1970,0,0,0,1.01
132,1975,0,0,0,0.93
132,1980,0,0,0,0.95
132,1985,0,0,0,0.88
132,1990,0,0,0,0.92
132,1995,0,0,0,0.88
132,2000,0,0,0,0.79
132,2005,0,0,0,0.65
132,2010,0,0,0,0.51
132,2015,0,0,0,0.45
132,2020,0,0,0,0.43
132,2025,0,0,0,0.42
132,2030,0,0,0,0.41
132,2035,0,0,0,0.39
132,2040,0,0,0,0.37
132,2045,0,0,0,0.36
132,2050,0,0,0,0.36
132,2055,0,0,0,0.37
132,2060,0,0,0,0.37
132,2065,0,0,0,0.36
132,2070,0,0,0,0.35
132,2075,0,0,0,0.35
132,2080,0,0,0,0.34
132,2085,0,0,0,0.34
132,2090,0,0,0,0.34
132,2095,0,0,0,0.34
132,2100,0,0,0,0.34
140,1970,0,0,0,0.73
140,1975,0,0,0,0.77
140,1980,0,0,0,0.79
140,1985,0,0,0,0.79
140,1990,0,0,0,0.82
140,1995,0,0,0,0.79
140,2000,0,0,0,0.78
140,2005,0,0,0,0.76
140,2010,0,0,0,0.73
140,2015,0,0,0,0.69
140,2020,0,0,0,0.66
140,2025,0,0,0,0.65
140,2030,0,0,0,0.62
140,2035,0,0,0,0.58
140,2040,0,0,0,0.54
140,2045,0,0,0,0.51
140,2050,0,0,0,0.48
140,2055,0,0,0,0.46
140,2060,0,0,0,0.44
140,2065,0,0,0,0.42
140,2070,0,0,0,0.4
140,2075,0,0,0,0.39
140,2080,0,0,0,0.37
140,2085,0,0,0,0.37
140,2090,0,0,0,0.36
140,2095,0,0,0,0.35
140,2100,0,0,0,0.35
144,1970,0,0,0,0.7
144,1975,0,0,0,0.64
144,1980,0,0,0,0.6
144,1985,0,0,0,0.56
144,1990,0,0,0,0.51
144,1995,0,0,0,0.45
144,2000,0,0,0,0.39
144,2005,0,0,0,0.37
144,2010,0,0,0,0.37
144,2015,0,0,0,0.38
144,2020,0,0,0,0.38
144,2025,0,0,0,0.36
144,2030,0,0,0,0.35
144,2035,0,0,0,0.36
144,2040,0,0,0,0.36
144,2045,0,0,0,0.36
144,2050,0,0,0,0.36
144,2055,0,0,0,0.36
144,2060,0,0,0,0.35
144,2065,0,0,0,0.35
144,2070,0,0,0,0.35
144,2075,0,0,0,0.35
144,2080,0,0,0,0.35
144,2085,0,0,0,0.35
144,2090,0,0,0,0.35
144,2095,0,0,0,0.36
144,2100,0,0,0,0.36
148,1970,0,0,0,0.77
148,1975,0,0,0,0.8
148,1980,0,0,0,0.84
148,1985,0,0,0,0.88
148,1990,0,0,0,0.9
148,1995,0,0,0,0.9
148,2000,0,0,0,0.9
148,2005,0,0,0,0.9
148,2010,0,0,0,0.88
148,2015,0,0,0,0.87
148,2020,0,0,0,0.84
148,2025,0,0,0,0.81
148,2030,0,0,0,0.77
148,2035,0,0,0,0.73
148,2040,0,0,0,0.68
148,2045,0,0,0,0.63
148,2050,0,0,0,0.58
148,2055,0,0,0,0.54
148,2060,0,0,0,0.51
148,2065,0,0,0,0.47
148,2070,0,0,0,0.45
148,2075,0,0,0,0.43
148,2080,0,0,0,0.41
148,2085,0,0,0,0.4
148,2090,0,0,0,0.39
148,2095,0,0,0,0.38
148,2100,0,0,0,0.37
152,1970,0,0,0,0.72
152,1975,0,0,0,0.64
152,1980,0,0,0,0.54
152,1985,0,0,0,0.49
152,1990,0,0,0,0.47
152,1995,0,0,0,0.47
152,2000,0,0,0,0.43
152,2005,0,0,0,0.37
152,2010,0,0,0,0.32
152,2015,0,0,0,0.3
152,2020,0,0,0,0.3
152,2025,0,0,0,0.31
152,2030,0,0,0,0.32
152,2035,0,0,0,0.32
152,2040,0,0,0,0.31
152,2045,0,0,0,0.3
152,2050,0,0,0,0.3
152,2055,0,0,0,0.31
152,2060,0,0,0,0.32
152,2065,0,0,0,0.32
152,2070,0,0,0,0.32
152,2075,0,0,0,0.32
152,2080,0,0,0,0.32
152,2085,0,0,0,0.32
152,2090,0,0,0,0.33
152,2095,0,0,0,0.33
152,2100,0,0,0,0.33
156,1970,0,0,0,0.7
156,1975,0,0,0,0.69
156,1980,0,0,0,0.6
156,1985,0,0,0,0.48
156,1990,0,0,0,0.42
156,1995,0,0,0,0.41
156,2000,0,0,0,0.38
156,2005,0,0,0,0.31
156,2010,0,0,0,0.27
156,2015,0,0,0,0.24
