"isono","year","sexno","ageno","eduno","macb"
414,2025,2,0,2,28.9
417,2025,2,0,2,27.1
418,2025,2,0,2,28.6
422,2025,2,0,2,28.9
428,2025,2,0,2,31.8
430,2025,2,0,2,27.6
440,2025,2,0,2,31.9
442,2025,2,0,2,30.3
446,2025,2,0,2,31.1
458,2025,2,0,2,30.1
462,2025,2,0,2,28.7
466,2025,2,0,2,26.7
480,2025,2,0,2,28.3
496,2025,2,0,2,29.2
498,2025,2,0,2,28.1
499,2025,2,0,2,30.2
504,2025,2,0,2,32.3
508,2025,2,0,2,26
516,2025,2,0,2,28.5
524,2025,2,0,2,25.3
528,2025,2,0,2,32
530,2025,2,0,2,28.3
554,2025,2,0,2,30.8
558,2025,2,0,2,25.4
562,2025,2,0,2,26.6
586,2025,2,0,2,28.3
600,2025,2,0,2,27.2
604,2025,2,0,2,28.5
608,2025,2,0,2,27.5
616,2025,2,0,2,32.8
620,2025,2,0,2,31.5
624,2025,2,0,2,27.6
630,2025,2,0,2,26.8
642,2025,2,0,2,29.5
643,2025,2,0,2,29.5
646,2025,2,0,2,28.6
662,2025,2,0,2,27.5
670,2025,2,0,2,25.6
682,2025,2,0,2,29.4
686,2025,2,0,2,27.4
688,2025,2,0,2,29
694,2025,2,0,2,27.5
703,2025,2,0,2,33.2
705,2025,2,0,2,32.6
706,2025,2,0,2,27.5
710,2025,2,0,2,27.1
716,2025,2,0,2,26.7
724,2025,2,0,2,30.2
740,2025,2,0,2,27.8
748,2025,2,0,2,26.8
756,2025,2,0,2,33.8
760,2025,2,0,2,28.1
764,2025,2,0,2,27.9
776,2025,2,0,2,29.8
780,2025,2,0,2,27.5
784,2025,2,0,2,28.8
792,2025,2,0,2,29.1
795,2025,2,0,2,29.4
800,2025,2,0,2,26
804,2025,2,0,2,29.7
818,2025,2,0,2,27.8
826,2025,2,0,2,30.8
834,2025,2,0,2,26.1
840,2025,2,0,2,28.4
854,2025,2,0,2,27.4
858,2025,2,0,2,27.5
862,2025,2,0,2,25.7
882,2025,2,0,2,28.4
894,2025,2,0,2,26.2
4,2030,2,0,2,26.8
72,2030,2,0,2,28.3
144,2030,2,0,2,28.3
175,2030,2,0,2,27.3
90,2030,2,0,2,28
96,2030,2,0,2,29
583,2030,2,0,2,30.7
478,2030,2,0,2,28.6
316,2030,2,0,2,27.4
408,2030,2,0,2,29
308,2030,2,0,2,28.3
52,2030,2,0,2,30.7
232,2030,2,0,2,28.3
434,2030,2,0,2,31.8
24,2030,2,0,2,26.1
242,2030,2,0,2,28.7
598,2030,2,0,2,28.1
860,2030,2,0,2,29
262,2030,2,0,2,28.9
512,2030,2,0,2,29.1
887,2030,2,0,2,27.8
850,2030,2,0,2,31.4
768,2030,2,0,2,28.1
830,2030,2,0,2,31.6
40,2030,2,0,2,32.6
70,2030,2,0,2,29.9
76,2030,2,0,2,25.5
108,2030,2,0,2,28.4
116,2030,2,0,2,28.6
231,2030,2,0,2,28
246,2030,2,0,2,32.3
250,2030,2,0,2,31
254,2030,2,0,2,28.1
276,2030,2,0,2,31.7
312,2030,2,0,2,30.4
352,2030,2,0,2,32.3
360,2030,2,0,2,28.2
392,2030,2,0,2,30.7
398,2030,2,0,2,28.8
410,2030,2,0,2,32.7
426,2030,2,0,2,26.7
450,2030,2,0,2,26.3
454,2030,2,0,2,26.2
470,2030,2,0,2,30.6
474,2030,2,0,2,31.1
484,2030,2,0,2,26.8
533,2030,2,0,2,29.9
540,2030,2,0,2,31
548,2030,2,0,2,28.3
566,2030,2,0,2,27.6
578,2030,2,0,2,32.4
591,2030,2,0,2,26
626,2030,2,0,2,28.3
634,2030,2,0,2,29.1
638,2030,2,0,2,29.8
678,2030,2,0,2,26.9
702,2030,2,0,2,32.7
704,2030,2,0,2,27.9
736,2030,2,0,2,28.1
752,2030,2,0,2,32.3
762,2030,2,0,2,27.8
788,2030,2,0,2,32.5
807,2030,2,0,2,29.8
8,2030,2,0,2,29.8
12,2030,2,0,2,30.7
31,2030,2,0,2,25.6
32,2030,2,0,2,28.3
36,2030,2,0,2,30.1
44,2030,2,0,2,30.9
48,2030,2,0,2,29.3
50,2030,2,0,2,26.3
51,2030,2,0,2,27.8
56,2030,2,0,2,32.2
64,2030,2,0,2,27.5
68,2030,2,0,2,27.1
84,2030,2,0,2,26.7
100,2030,2,0,2,29.4
104,2030,2,0,2,31.3
112,2030,2,0,2,29.4
120,2030,2,0,2,26.4
124,2030,2,0,2,31
132,2030,2,0,2,25.6
140,2030,2,0,2,26.8
148,2030,2,0,2,26.4
152,2030,2,0,2,28.5
156,2030,2,0,2,28.5
170,2030,2,0,2,27.4
174,2030,2,0,2,27.8
178,2030,2,0,2,26.7
180,2030,2,0,2,26.4
188,2030,2,0,2,27
191,2030,2,0,2,29.7
192,2030,2,0,2,27.3
196,2030,2,0,2,30.8
203,2030,2,0,2,32.2
204,2030,2,0,2,27.3
208,2030,2,0,2,32.3
214,2030,2,0,2,25.1
218,2030,2,0,2,26.9
222,2030,2,0,2,26.6
226,2030,2,0,2,25.9
233,2030,2,0,2,31.1
258,2030,2,0,2,27.3
266,2030,2,0,2,27.1
268,2030,2,0,2,28
270,2030,2,0,2,27.8
275,2030,2,0,2,28.1
288,2030,2,0,2,27.8
300,2030,2,0,2,31.4
320,2030,2,0,2,26.1
324,2030,2,0,2,27
328,2030,2,0,2,27.7
