"isono","year","sexno","ageno","eduno","ryl15"
100,2095,0,0,0,80.4
104,2010,0,0,0,62.4
104,2015,0,0,0,62.1
104,2020,0,0,0,62.6
104,2025,0,0,0,62.5
104,2030,0,0,0,63.1
104,2035,0,0,0,63.2
104,2040,0,0,0,63.8
104,2045,0,0,0,64.1
104,2050,0,0,0,64.4
104,2055,0,0,0,64.9
104,2060,0,0,0,65.5
104,2065,0,0,0,66.2
104,2070,0,0,0,66.9
104,2075,0,0,0,67.7
104,2080,0,0,0,68.4
104,2085,0,0,0,69.2
104,2090,0,0,0,69.9
104,2095,0,0,0,70.8
108,2010,0,0,0,61.3
108,2015,0,0,0,61.6
108,2020,0,0,0,61.5
108,2025,0,0,0,62
108,2030,0,0,0,62
108,2035,0,0,0,62.6
108,2040,0,0,0,62.7
108,2045,0,0,0,63.1
108,2050,0,0,0,63.6
108,2055,0,0,0,64
108,2060,0,0,0,64.3
108,2065,0,0,0,64.6
108,2070,0,0,0,65
108,2075,0,0,0,65.5
108,2080,0,0,0,66.2
108,2085,0,0,0,66.8
108,2090,0,0,0,67.5
108,2095,0,0,0,68.2
112,2010,0,0,0,64.9
112,2015,0,0,0,66
112,2020,0,0,0,67.2
112,2025,0,0,0,68.1
112,2030,0,0,0,69
112,2035,0,0,0,69.8
112,2040,0,0,0,70.7
112,2045,0,0,0,71.7
112,2050,0,0,0,72.6
112,2055,0,0,0,73.5
112,2060,0,0,0,74.3
112,2065,0,0,0,75.1
112,2070,0,0,0,75.9
112,2075,0,0,0,76.8
112,2080,0,0,0,77.7
112,2085,0,0,0,78.6
112,2090,0,0,0,79.5
112,2095,0,0,0,80.3
116,2010,0,0,0,62.4
116,2015,0,0,0,62.9
116,2020,0,0,0,63.2
116,2025,0,0,0,63.4
116,2030,0,0,0,63.8
116,2035,0,0,0,64.2
116,2040,0,0,0,64.9
116,2045,0,0,0,65.6
116,2050,0,0,0,66.2
116,2055,0,0,0,66.9
116,2060,0,0,0,67.6
116,2065,0,0,0,68.3
116,2070,0,0,0,68.9
116,2075,0,0,0,69.7
116,2080,0,0,0,70.5
116,2085,0,0,0,71.4
116,2090,0,0,0,72.3
116,2095,0,0,0,73.1
120,2010,0,0,0,61.5
120,2015,0,0,0,61.9
120,2020,0,0,0,62.2
120,2025,0,0,0,62.5
120,2030,0,0,0,62.8
120,2035,0,0,0,62.9
120,2040,0,0,0,63.4
120,2045,0,0,0,63.5
120,2050,0,0,0,63.8
120,2055,0,0,0,64.2
120,2060,0,0,0,64.7
120,2065,0,0,0,65.1
120,2070,0,0,0,65.3
120,2075,0,0,0,65.9
120,2080,0,0,0,66.5
120,2085,0,0,0,67.2
120,2090,0,0,0,67.7
120,2095,0,0,0,68.4
124,2010,0,0,0,71.7
124,2015,0,0,0,72.4
124,2020,0,0,0,73.2
124,2025,0,0,0,74
124,2030,0,0,0,74.7
124,2035,0,0,0,75.5
124,2040,0,0,0,76.3
124,2045,0,0,0,77.1
124,2050,0,0,0,78
124,2055,0,0,0,78.9
124,2060,0,0,0,79.9
124,2065,0,0,0,80.9
124,2070,0,0,0,81.9
124,2075,0,0,0,82.9
124,2080,0,0,0,83.7
