"isono","year","sexno","ageno","eduno","ggapmys25"
76,1975,0,0,0,0.08
76,1980,0,0,0,0.05
76,1985,0,0,0,-0.01
76,1990,0,0,0,-0.06
76,1995,0,0,0,-0.15
76,2000,0,0,0,-0.23
76,2005,0,0,0,-0.29
76,2010,0,0,0,-0.35
76,2015,0,0,0,-0.4
76,2020,0,0,0,-0.43
76,2025,0,0,0,-0.47
76,2030,0,0,0,-0.5
76,2035,0,0,0,-0.54
76,2040,0,0,0,-0.57
76,2045,0,0,0,-0.6
76,2050,0,0,0,-0.63
76,2055,0,0,0,-0.66
76,2060,0,0,0,-0.68
76,2065,0,0,0,-0.7
76,2070,0,0,0,-0.71
76,2075,0,0,0,-0.72
76,2080,0,0,0,-0.72
76,2085,0,0,0,-0.72
76,2090,0,0,0,-0.72
76,2095,0,0,0,-0.72
76,2100,0,0,0,-0.72
84,1970,0,0,0,-0.09
84,1975,0,0,0,-0.02
84,1980,0,0,0,-0.01
84,1985,0,0,0,0.01
84,1990,0,0,0,0.08
84,1995,0,0,0,0.13
84,2000,0,0,0,0.08
84,2005,0,0,0,0.06
84,2010,0,0,0,0.04
84,2015,0,0,0,-0.04
84,2020,0,0,0,-0.1
84,2025,0,0,0,-0.13
84,2030,0,0,0,-0.16
84,2035,0,0,0,-0.18
84,2040,0,0,0,-0.2
84,2045,0,0,0,-0.22
84,2050,0,0,0,-0.24
84,2055,0,0,0,-0.26
84,2060,0,0,0,-0.28
84,2065,0,0,0,-0.28
84,2070,0,0,0,-0.29
84,2075,0,0,0,-0.29
84,2080,0,0,0,-0.3
84,2085,0,0,0,-0.3
84,2090,0,0,0,-0.3
84,2095,0,0,0,-0.29
84,2100,0,0,0,-0.29
90,1970,0,0,0,0
90,1975,0,0,0,0
90,1980,0,0,0,0
90,1985,0,0,0,0
90,1990,0,0,0,0
90,1995,0,0,0,0
90,2000,0,0,0,0
90,2005,0,0,0,0
90,2010,0,0,0,0
90,2015,0,0,0,0
90,2020,0,0,0,0
90,2025,0,0,0,0
90,2030,0,0,0,0
90,2035,0,0,0,0
90,2040,0,0,0,0
90,2045,0,0,0,0
90,2050,0,0,0,0
90,2055,0,0,0,0
90,2060,0,0,0,0
90,2065,0,0,0,0
90,2070,0,0,0,0
90,2075,0,0,0,0
90,2080,0,0,0,0
90,2085,0,0,0,0
90,2090,0,0,0,0
90,2095,0,0,0,0
90,2100,0,0,0,0
96,1970,0,0,0,0
96,1975,0,0,0,0
96,1980,0,0,0,0
96,1985,0,0,0,0
96,1990,0,0,0,0
96,1995,0,0,0,0
96,2000,0,0,0,0
96,2005,0,0,0,0
96,2010,0,0,0,0
96,2015,0,0,0,0
96,2020,0,0,0,0
96,2025,0,0,0,0
96,2030,0,0,0,0
96,2035,0,0,0,0
96,2040,0,0,0,0
96,2045,0,0,0,0
96,2050,0,0,0,0
96,2055,0,0,0,0
96,2060,0,0,0,0
96,2065,0,0,0,0
96,2070,0,0,0,0
96,2075,0,0,0,0
96,2080,0,0,0,0
96,2085,0,0,0,0
96,2090,0,0,0,0
96,2095,0,0,0,0
96,2100,0,0,0,0
100,1970,0,0,0,1.32
100,1975,0,0,0,1.08
100,1980,0,0,0,0.86
100,1985,0,0,0,0.6
100,1990,0,0,0,0.54
100,1995,0,0,0,0.41
100,2000,0,0,0,0.27
100,2005,0,0,0,0.13
100,2010,0,0,0,-0.01
100,2015,0,0,0,-0.13
100,2020,0,0,0,-0.22
100,2025,0,0,0,-0.29
100,2030,0,0,0,-0.35
100,2035,0,0,0,-0.4
100,2040,0,0,0,-0.43
100,2045,0,0,0,-0.45
100,2050,0,0,0,-0.47
100,2055,0,0,0,-0.49
100,2060,0,0,0,-0.5
100,2065,0,0,0,-0.52
100,2070,0,0,0,-0.53
100,2075,0,0,0,-0.54
100,2080,0,0,0,-0.54
100,2085,0,0,0,-0.54
100,2090,0,0,0,-0.54
100,2095,0,0,0,-0.54
100,2100,0,0,0,-0.54
104,1970,0,0,0,0.45
104,1975,0,0,0,0.57
104,1980,0,0,0,0.63
104,1985,0,0,0,0.63
104,1990,0,0,0,0.64
104,1995,0,0,0,0.57
104,2000,0,0,0,0.48
104,2005,0,0,0,0.41
104,2010,0,0,0,0.33
104,2015,0,0,0,0.29
104,2020,0,0,0,0.26
104,2025,0,0,0,0.21
104,2030,0,0,0,0.17
104,2035,0,0,0,0.14
104,2040,0,0,0,0.12
104,2045,0,0,0,0.09
104,2050,0,0,0,0.07
104,2055,0,0,0,0.05
104,2060,0,0,0,0.04
104,2065,0,0,0,0.04
104,2070,0,0,0,0.03
104,2075,0,0,0,0.03
104,2080,0,0,0,0.03
104,2085,0,0,0,0.03
104,2090,0,0,0,0.03
104,2095,0,0,0,0.03
104,2100,0,0,0,0.02
108,1970,0,0,0,1.93
108,1975,0,0,0,1.83
108,1980,0,0,0,1.77
108,1985,0,0,0,1.72
108,1990,0,0,0,1.64
108,1995,0,0,0,1.54
108,2000,0,0,0,1.55
108,2005,0,0,0,1.55
108,2010,0,0,0,1.42
108,2015,0,0,0,1.56
108,2020,0,0,0,1.52
108,2025,0,0,0,1.55
108,2030,0,0,0,1.55
108,2035,0,0,0,1.54
108,2040,0,0,0,1.53
108,2045,0,0,0,1.53
108,2050,0,0,0,1.52
108,2055,0,0,0,1.52
108,2060,0,0,0,1.52
108,2065,0,0,0,1.52
108,2070,0,0,0,1.52
108,2075,0,0,0,1.52
108,2080,0,0,0,1.52
108,2085,0,0,0,1.52
108,2090,0,0,0,1.52
108,2095,0,0,0,1.53
108,2100,0,0,0,1.53
112,1970,0,0,0,1.35
112,1975,0,0,0,1.27
112,1980,0,0,0,1.16
112,1985,0,0,0,0.87
112,1990,0,0,0,0.81
112,1995,0,0,0,0.65
112,2000,0,0,0,0.5
112,2005,0,0,0,0.38
112,2010,0,0,0,0.26
112,2015,0,0,0,0.15
112,2020,0,0,0,0.05
112,2025,0,0,0,-0.03
112,2030,0,0,0,-0.09
112,2035,0,0,0,-0.13
112,2040,0,0,0,-0.17
112,2045,0,0,0,-0.2
112,2050,0,0,0,-0.22
112,2055,0,0,0,-0.25
112,2060,0,0,0,-0.26
112,2065,0,0,0,-0.26
112,2070,0,0,0,-0.26
112,2075,0,0,0,-0.25
112,2080,0,0,0,-0.24
112,2085,0,0,0,-0.23
112,2090,0,0,0,-0.23
112,2095,0,0,0,-0.23
112,2100,0,0,0,-0.23
116,1970,0,0,0,1.97
116,1975,0,0,0,2.12
116,1980,0,0,0,2.16
116,1985,0,0,0,2.11
116,1990,0,0,0,1.98
116,1995,0,0,0,1.95
116,2000,0,0,0,1.96
116,2005,0,0,0,1.92
116,2010,0,0,0,1.84
116,2015,0,0,0,1.73
116,2020,0,0,0,1.52
116,2025,0,0,0,1.38
116,2030,0,0,0,1.25
116,2035,0,0,0,1.15
116,2040,0,0,0,1.06
116,2045,0,0,0,0.97
116,2050,0,0,0,0.9
116,2055,0,0,0,0.83
116,2060,0,0,0,0.77
116,2065,0,0,0,0.72
116,2070,0,0,0,0.68
116,2075,0,0,0,0.65
116,2080,0,0,0,0.64
116,2085,0,0,0,0.64
116,2090,0,0,0,0.64
116,2095,0,0,0,0.64
116,2100,0,0,0,0.64
120,1970,0,0,0,1.63
120,1975,0,0,0,1.9
120,1980,0,0,0,2.04
120,1985,0,0,0,2.24
120,1990,0,0,0,2.26
120,1995,0,0,0,2.3
120,2000,0,0,0,2.26
120,2005,0,0,0,2.24
120,2010,0,0,0,1.98
120,2015,0,0,0,1.93
120,2020,0,0,0,1.85
120,2025,0,0,0,1.78
120,2030,0,0,0,1.71
120,2035,0,0,0,1.66
120,2040,0,0,0,1.62
120,2045,0,0,0,1.59
120,2050,0,0,0,1.57
120,2055,0,0,0,1.57
120,2060,0,0,0,1.57
120,2065,0,0,0,1.57
120,2070,0,0,0,1.57
120,2075,0,0,0,1.57
120,2080,0,0,0,1.57
120,2085,0,0,0,1.58
120,2090,0,0,0,1.58
120,2095,0,0,0,1.58
120,2100,0,0,0,1.58
124,1970,0,0,0,0.32
124,1975,0,0,0,0.38
124,1980,0,0,0,0.42
124,1985,0,0,0,0.32
124,1990,0,0,0,0.36
124,1995,0,0,0,0.3
124,2000,0,0,0,0.24
124,2005,0,0,0,0.16
124,2010,0,0,0,0.09
124,2015,0,0,0,0.02
124,2020,0,0,0,-0.04
124,2025,0,0,0,-0.1
124,2030,0,0,0,-0.14
124,2035,0,0,0,-0.18
124,2040,0,0,0,-0.22
124,2045,0,0,0,-0.26
124,2050,0,0,0,-0.29
124,2055,0,0,0,-0.31
124,2060,0,0,0,-0.33
124,2065,0,0,0,-0.34
124,2070,0,0,0,-0.34
124,2075,0,0,0,-0.34
124,2080,0,0,0,-0.34
124,2085,0,0,0,-0.34
124,2090,0,0,0,-0.34
124,2095,0,0,0,-0.34
124,2100,0,0,0,-0.34
132,1970,0,0,0,1.33
132,1975,0,0,0,1.48
132,1980,0,0,0,1.49
132,1985,0,0,0,1.64
132,1990,0,0,0,1.71
132,1995,0,0,0,1.61
132,2000,0,0,0,1.47
132,2005,0,0,0,1.29
132,2010,0,0,0,1.14
132,2015,0,0,0,0.96
132,2020,0,0,0,0.77
132,2025,0,0,0,0.6
132,2030,0,0,0,0.47
132,2035,0,0,0,0.36
132,2040,0,0,0,0.26
132,2045,0,0,0,0.18
132,2050,0,0,0,0.1
132,2055,0,0,0,0.05
132,2060,0,0,0,0
132,2065,0,0,0,-0.03
132,2070,0,0,0,-0.05
132,2075,0,0,0,-0.06
132,2080,0,0,0,-0.06
132,2085,0,0,0,-0.07
132,2090,0,0,0,-0.06
132,2095,0,0,0,-0.06
132,2100,0,0,0,-0.06
140,1970,0,0,0,0.6
140,1975,0,0,0,0.92
140,1980,0,0,0,1.2
140,1985,0,0,0,1.6
140,1990,0,0,0,1.83
140,1995,0,0,0,2.02
140,2000,0,0,0,2.22
140,2005,0,0,0,2.27
140,2010,0,0,0,2.22
140,2015,0,0,0,2.33
140,2020,0,0,0,2.3
140,2025,0,0,0,2.28
140,2030,0,0,0,2.25
140,2035,0,0,0,2.23
140,2040,0,0,0,2.2
140,2045,0,0,0,2.19
140,2050,0,0,0,2.19
140,2055,0,0,0,2.19
140,2060,0,0,0,2.19
140,2065,0,0,0,2.2
140,2070,0,0,0,2.2
140,2075,0,0,0,2.2
140,2080,0,0,0,2.21
140,2085,0,0,0,2.21
140,2090,0,0,0,2.21
140,2095,0,0,0,2.21
140,2100,0,0,0,2.21
144,1970,0,0,0,0
144,1975,0,0,0,0
144,1980,0,0,0,0
144,1985,0,0,0,0
144,1990,0,0,0,0
144,1995,0,0,0,0
144,2000,0,0,0,0
144,2005,0,0,0,0
144,2010,0,0,0,0
144,2015,0,0,0,0
144,2020,0,0,0,0
144,2025,0,0,0,0
144,2030,0,0,0,0
144,2035,0,0,0,0
144,2040,0,0,0,0
144,2045,0,0,0,0
144,2050,0,0,0,0
144,2055,0,0,0,0
144,2060,0,0,0,0
144,2065,0,0,0,0
144,2070,0,0,0,0
144,2075,0,0,0,0
144,2080,0,0,0,0
144,2085,0,0,0,0
144,2090,0,0,0,0
144,2095,0,0,0,0
144,2100,0,0,0,0
148,1970,0,0,0,0.17
148,1975,0,0,0,0.39
148,1980,0,0,0,0.6
148,1985,0,0,0,0.83
148,1990,0,0,0,0.93
148,1995,0,0,0,1.11
148,2000,0,0,0,1.37
148,2005,0,0,0,1.74
148,2010,0,0,0,1.83
148,2015,0,0,0,2.1
148,2020,0,0,0,2.3
148,2025,0,0,0,2.43
148,2030,0,0,0,2.51
148,2035,0,0,0,2.57
148,2040,0,0,0,2.62
148,2045,0,0,0,2.65
148,2050,0,0,0,2.67
148,2055,0,0,0,2.68
148,2060,0,0,0,2.68
148,2065,0,0,0,2.68
148,2070,0,0,0,2.69
148,2075,0,0,0,2.69
148,2080,0,0,0,2.69
148,2085,0,0,0,2.7
148,2090,0,0,0,2.7
148,2095,0,0,0,2.7
148,2100,0,0,0,2.71
152,1970,0,0,0,0.45
152,1975,0,0,0,0.49
152,1980,0,0,0,0.51
152,1985,0,0,0,0.49
152,1990,0,0,0,0.49
152,1995,0,0,0,0.44
152,2000,0,0,0,0.39
152,2005,0,0,0,0.35
152,2010,0,0,0,0.3
152,2015,0,0,0,0.24
152,2020,0,0,0,0.18
152,2025,0,0,0,0.13
152,2030,0,0,0,0.08
152,2035,0,0,0,0.03
152,2040,0,0,0,-0.01
152,2045,0,0,0,-0.06
152,2050,0,0,0,-0.1
152,2055,0,0,0,-0.13
152,2060,0,0,0,-0.16
152,2065,0,0,0,-0.17
152,2070,0,0,0,-0.18
152,2075,0,0,0,-0.18
152,2080,0,0,0,-0.18
152,2085,0,0,0,-0.18
152,2090,0,0,0,-0.17
152,2095,0,0,0,-0.17
152,2100,0,0,0,-0.17
156,1970,0,0,0,1.91
156,1975,0,0,0,1.96
156,1980,0,0,0,1.97
156,1985,0,0,0,1.92
156,1990,0,0,0,1.83
156,1995,0,0,0,1.67
156,2000,0,0,0,1.5
156,2005,0,0,0,1.35
156,2010,0,0,0,1.18
156,2015,0,0,0,1.02
156,2020,0,0,0,0.89
156,2025,0,0,0,0.78
156,2030,0,0,0,0.68
156,2035,0,0,0,0.59
156,2040,0,0,0,0.5
156,2045,0,0,0,0.41
156,2050,0,0,0,0.33
