"isono","year","sexno","ageno","eduno","ggapedu25"
12,2005,0,0,5,1.63
12,2005,0,0,6,1.34
12,2005,0,0,7,1.18
12,2010,0,0,0,NA
12,2010,0,0,1,NA
12,2010,0,0,2,0.44
12,2010,0,0,3,1.03
12,2010,0,0,4,1.22
12,2010,0,0,5,1.54
12,2010,0,0,6,1.28
12,2010,0,0,7,1.01
12,2015,0,0,0,NA
12,2015,0,0,1,NA
12,2015,0,0,2,0.42
12,2015,0,0,3,1.11
12,2015,0,0,4,1.13
12,2015,0,0,5,1.45
12,2015,0,0,6,1.27
12,2015,0,0,7,0.95
12,2020,0,0,0,NA
12,2020,0,0,1,NA
12,2020,0,0,2,0.39
12,2020,0,0,3,1.09
12,2020,0,0,4,1.07
12,2020,0,0,5,1.43
12,2020,0,0,6,1.25
12,2020,0,0,7,0.9
12,2025,0,0,0,NA
12,2025,0,0,1,NA
12,2025,0,0,2,0.37
12,2025,0,0,3,1.06
12,2025,0,0,4,1.02
12,2025,0,0,5,1.41
12,2025,0,0,6,1.23
12,2025,0,0,7,0.87
12,2030,0,0,0,NA
12,2030,0,0,1,NA
12,2030,0,0,2,0.36
12,2030,0,0,3,1.04
12,2030,0,0,4,0.97
12,2030,0,0,5,1.39
12,2030,0,0,6,1.22
12,2030,0,0,7,0.85
12,2035,0,0,0,NA
12,2035,0,0,1,NA
12,2035,0,0,2,0.35
12,2035,0,0,3,1.02
12,2035,0,0,4,0.93
12,2035,0,0,5,1.37
12,2035,0,0,6,1.2
12,2035,0,0,7,0.82
12,2040,0,0,0,NA
12,2040,0,0,1,NA
12,2040,0,0,2,0.34
12,2040,0,0,3,1
12,2040,0,0,4,0.89
12,2040,0,0,5,1.35
12,2040,0,0,6,1.18
12,2040,0,0,7,0.8
12,2045,0,0,0,NA
12,2045,0,0,1,NA
12,2045,0,0,2,0.34
12,2045,0,0,3,1
12,2045,0,0,4,0.86
12,2045,0,0,5,1.33
12,2045,0,0,6,1.16
12,2045,0,0,7,0.78
12,2050,0,0,0,NA
12,2050,0,0,1,NA
12,2050,0,0,2,0.35
12,2050,0,0,3,1
12,2050,0,0,4,0.84
12,2050,0,0,5,1.32
12,2050,0,0,6,1.15
12,2050,0,0,7,0.77
12,2055,0,0,0,NA
12,2055,0,0,1,NA
12,2055,0,0,2,0.36
12,2055,0,0,3,1.01
12,2055,0,0,4,0.82
12,2055,0,0,5,1.3
12,2055,0,0,6,1.13
12,2055,0,0,7,0.75
12,2060,0,0,0,NA
12,2060,0,0,1,NA
12,2060,0,0,2,0.37
12,2060,0,0,3,1.02
12,2060,0,0,4,0.81
12,2060,0,0,5,1.29
12,2060,0,0,6,1.12
12,2060,0,0,7,0.74
12,2065,0,0,0,NA
12,2065,0,0,1,NA
12,2065,0,0,2,0.38
12,2065,0,0,3,1.04
12,2065,0,0,4,0.81
12,2065,0,0,5,1.28
12,2065,0,0,6,1.12
12,2065,0,0,7,0.73
12,2070,0,0,0,NA
12,2070,0,0,1,NA
12,2070,0,0,2,0.38
12,2070,0,0,3,1.05
12,2070,0,0,4,0.81
12,2070,0,0,5,1.28
12,2070,0,0,6,1.11
12,2070,0,0,7,0.72
12,2075,0,0,0,NA
12,2075,0,0,1,NA
12,2075,0,0,2,0.39
12,2075,0,0,3,1.06
12,2075,0,0,4,0.81
