"isono","year","sexno","ageno","eduno","nirate"
410,1985,0,0,0,9.8
410,1990,0,0,0,10.6
410,1995,0,0,0,8.1
410,2000,0,0,0,5
410,2005,0,0,0,4.9
414,1970,0,0,0,42.4
414,1975,0,0,0,36.5
414,1980,0,0,0,33.6
414,1985,0,0,0,23.7
414,1990,0,0,0,15.3
414,1995,0,0,0,21.1
414,2000,0,0,0,15.4
414,2005,0,0,0,15.6
417,1970,0,0,0,20.8
417,1975,0,0,0,20.3
417,1980,0,0,0,24
417,1985,0,0,0,25.5
417,1990,0,0,0,20.9
417,1995,0,0,0,16.3
417,2000,0,0,0,13.5
417,2005,0,0,0,16.3
418,1970,0,0,0,24.5
418,1975,0,0,0,24.9
418,1980,0,0,0,26.1
418,1985,0,0,0,27.8
418,1990,0,0,0,28.2
418,1995,0,0,0,24.1
418,2000,0,0,0,19.9
418,2005,0,0,0,17.5
422,1970,0,0,0,23.8
422,1975,0,0,0,22.7
422,1980,0,0,0,21.9
422,1985,0,0,0,19.4
422,1990,0,0,0,17.8
422,1995,0,0,0,15.5
422,2000,0,0,0,10.8
422,2005,0,0,0,9.1
426,1970,0,0,0,26
426,1975,0,0,0,27
426,1980,0,0,0,27.4
426,1985,0,0,0,26
426,1990,0,0,0,24.7
426,1995,0,0,0,20.2
426,2000,0,0,0,12.8
426,2005,0,0,0,11.9
428,1970,0,0,0,3
428,1975,0,0,0,1.4
428,1980,0,0,0,2.4
428,1985,0,0,0,3.1
428,1990,0,0,0,-2.9
428,1995,0,0,0,-5.5
428,2000,0,0,0,-5.1
428,2005,0,0,0,-3.8
430,1970,0,0,0,26.8
430,1975,0,0,0,28.2
430,1980,0,0,0,28
430,1985,0,0,0,26.1
430,1990,0,0,0,23.8
430,1995,0,0,0,24.2
430,2000,0,0,0,27.1
430,2005,0,0,0,28.5
434,1970,0,0,0,34.2
434,1975,0,0,0,34.6
434,1980,0,0,0,34.8
434,1985,0,0,0,24.7
434,1990,0,0,0,20.2
434,1995,0,0,0,19
434,2000,0,0,0,20.3
434,2005,0,0,0,20
440,1970,0,0,0,7.7
440,1975,0,0,0,5.5
440,1980,0,0,0,5.3
440,1985,0,0,0,5.6
440,1990,0,0,0,1.7
440,1995,0,0,0,-1.3
440,2000,0,0,0,-2.8
440,2005,0,0,0,-3.4
442,1970,0,0,0,-0.5
442,1975,0,0,0,-0.4
442,1980,0,0,0,0.4
442,1985,0,0,0,1.4
442,1990,0,0,0,3.2
442,1995,0,0,0,3.8
442,2000,0,0,0,3.3
442,2005,0,0,0,3.2
446,1970,0,0,0,3.6
446,1975,0,0,0,3.6
446,1980,0,0,0,13.1
446,1985,0,0,0,16.2
446,1990,0,0,0,10.8
446,1995,0,0,0,6.6
446,2000,0,0,0,3.1
446,2005,0,0,0,4.5
450,1970,0,0,0,27.7
450,1975,0,0,0,28.2
450,1980,0,0,0,25.7
450,1985,0,0,0,28.6
450,1990,0,0,0,30.4
450,1995,0,0,0,31.5
450,2000,0,0,0,30.4
450,2005,0,0,0,29.4
454,1970,0,0,0,28.9
