"isono","year","sexno","ageno","eduno","pmage"
132,2015,0,0,0,24
132,2020,0,0,0,25.4
132,2025,0,0,0,26.7
132,2030,0,0,0,28.1
132,2035,0,0,0,29.5
132,2040,0,0,0,30.9
132,2045,0,0,0,32.2
132,2050,0,0,0,33.3
132,2055,0,0,0,34.4
132,2060,0,0,0,35.5
132,2065,0,0,0,36.4
132,2070,0,0,0,37.1
132,2075,0,0,0,37.5
132,2080,0,0,0,37.7
132,2085,0,0,0,37.6
132,2090,0,0,0,37.6
132,2095,0,0,0,37.4
140,2010,0,0,0,19.4
140,2015,0,0,0,17.8
140,2020,0,0,0,17.9
140,2025,0,0,0,18.3
140,2030,0,0,0,18.9
140,2035,0,0,0,19.6
140,2040,0,0,0,20.3
140,2045,0,0,0,21.2
140,2050,0,0,0,22.1
140,2055,0,0,0,22.5
140,2060,0,0,0,23.3
140,2065,0,0,0,24
140,2070,0,0,0,24.6
140,2075,0,0,0,25.3
140,2080,0,0,0,25.8
140,2085,0,0,0,26
140,2090,0,0,0,26.1
140,2095,0,0,0,26.2
144,2010,0,0,0,30.6
144,2015,0,0,0,31.4
144,2020,0,0,0,32.3
144,2025,0,0,0,32.9
144,2030,0,0,0,33.4
144,2035,0,0,0,33.6
144,2040,0,0,0,33.7
144,2045,0,0,0,34.2
144,2050,0,0,0,35
144,2055,0,0,0,35.8
144,2060,0,0,0,36.5
144,2065,0,0,0,36.9
144,2070,0,0,0,37.2
144,2075,0,0,0,37.3
144,2080,0,0,0,37.4
144,2085,0,0,0,37.6
144,2090,0,0,0,37.8
144,2095,0,0,0,38
148,2010,0,0,0,17
148,2015,0,0,0,16.7
148,2020,0,0,0,16.8
148,2025,0,0,0,16.6
148,2030,0,0,0,17.2
148,2035,0,0,0,17.6
148,2040,0,0,0,18.2
148,2045,0,0,0,19.1
148,2050,0,0,0,19.8
148,2055,0,0,0,20.4
148,2060,0,0,0,21.3
148,2065,0,0,0,22.2
148,2070,0,0,0,23
148,2075,0,0,0,23.8
148,2080,0,0,0,24.4
148,2085,0,0,0,24.9
148,2090,0,0,0,25.5
148,2095,0,0,0,25.9
152,2010,0,0,0,32.1
152,2015,0,0,0,32.5
152,2020,0,0,0,33.4
152,2025,0,0,0,34.4
152,2030,0,0,0,35.5
152,2035,0,0,0,36.8
152,2040,0,0,0,37.8
152,2045,0,0,0,38.6
152,2050,0,0,0,39.2
152,2055,0,0,0,39.6
152,2060,0,0,0,40
152,2065,0,0,0,40.4
152,2070,0,0,0,40.7
152,2075,0,0,0,41.1
152,2080,0,0,0,41.3
152,2085,0,0,0,41.5
152,2090,0,0,0,41.4
152,2095,0,0,0,41.4
156,2010,0,0,0,34.6
