"isono","year","sexno","ageno","eduno","tdr"
50,1980,0,0,0,0.95
50,1985,0,0,0,0.9
50,1990,0,0,0,0.86
50,1995,0,0,0,0.79
50,2000,0,0,0,0.7
50,2005,0,0,0,0.63
50,2010,0,0,0,0.56
50,2015,0,0,0,0.49
50,2020,0,0,0,0.44
50,2025,0,0,0,0.41
50,2030,0,0,0,0.4
50,2035,0,0,0,0.4
50,2040,0,0,0,0.41
50,2045,0,0,0,0.43
50,2050,0,0,0,0.47
50,2055,0,0,0,0.51
50,2060,0,0,0,0.55
50,2065,0,0,0,0.61
50,2070,0,0,0,0.67
50,2075,0,0,0,0.73
50,2080,0,0,0,0.78
50,2085,0,0,0,0.84
50,2090,0,0,0,0.9
50,2095,0,0,0,0.95
50,2100,0,0,0,1
51,1970,0,0,0,0.81
51,1975,0,0,0,0.67
51,1980,0,0,0,0.57
51,1985,0,0,0,0.53
51,1990,0,0,0,0.56
51,1995,0,0,0,0.61
51,2000,0,0,0,0.56
51,2005,0,0,0,0.51
51,2010,0,0,0,0.46
51,2015,0,0,0,0.45
51,2020,0,0,0,0.46
51,2025,0,0,0,0.48
51,2030,0,0,0,0.51
51,2035,0,0,0,0.51
51,2040,0,0,0,0.51
51,2045,0,0,0,0.54
51,2050,0,0,0,0.61
51,2055,0,0,0,0.71
51,2060,0,0,0,0.79
51,2065,0,0,0,0.81
51,2070,0,0,0,0.86
51,2075,0,0,0,0.94
51,2080,0,0,0,0.99
51,2085,0,0,0,1.02
51,2090,0,0,0,1.04
51,2095,0,0,0,1.06
51,2100,0,0,0,1.09
52,1970,0,0,0,0.83
52,1975,0,0,0,0.7
52,1980,0,0,0,0.67
52,1985,0,0,0,0.56
52,1990,0,0,0,0.52
52,1995,0,0,0,0.51
52,2000,0,0,0,0.5
52,2005,0,0,0,0.45
52,2010,0,0,0,0.4
52,2015,0,0,0,0.39
52,2020,0,0,0,0.42
52,2025,0,0,0,0.47
52,2030,0,0,0,0.53
52,2035,0,0,0,0.58
52,2040,0,0,0,0.64
52,2045,0,0,0,0.68
52,2050,0,0,0,0.73
52,2055,0,0,0,0.8
52,2060,0,0,0,0.88
52,2065,0,0,0,0.97
52,2070,0,0,0,1.02
52,2075,0,0,0,1.08
52,2080,0,0,0,1.14
52,2085,0,0,0,1.19
52,2090,0,0,0,1.24
52,2095,0,0,0,1.29
52,2100,0,0,0,1.34
56,1970,0,0,0,0.58
56,1975,0,0,0,0.57
56,1980,0,0,0,0.54
56,1985,0,0,0,0.45
56,1990,0,0,0,0.49
56,1995,0,0,0,0.51
56,2000,0,0,0,0.52
56,2005,0,0,0,0.52
56,2010,0,0,0,0.52
56,2015,0,0,0,0.55
56,2020,0,0,0,0.57
56,2025,0,0,0,0.59
56,2030,0,0,0,0.62
56,2035,0,0,0,0.65
56,2040,0,0,0,0.68
56,2045,0,0,0,0.7
56,2050,0,0,0,0.72
56,2055,0,0,0,0.74
56,2060,0,0,0,0.76
56,2065,0,0,0,0.79
56,2070,0,0,0,0.83
56,2075,0,0,0,0.89
56,2080,0,0,0,0.95
56,2085,0,0,0,1
56,2090,0,0,0,1.06
56,2095,0,0,0,1.11
56,2100,0,0,0,1.17
64,1970,0,0,0,0.83
64,1975,0,0,0,0.8
64,1980,0,0,0,0.82
64,1985,0,0,0,0.84
64,1990,0,0,0,0.85
64,1995,0,0,0,0.89
64,2000,0,0,0,0.79
64,2005,0,0,0,0.62
64,2010,0,0,0,0.52
64,2015,0,0,0,0.47
64,2020,0,0,0,0.44
64,2025,0,0,0,0.41
64,2030,0,0,0,0.38
64,2035,0,0,0,0.37
64,2040,0,0,0,0.36
64,2045,0,0,0,0.39
64,2050,0,0,0,0.43
64,2055,0,0,0,0.49
64,2060,0,0,0,0.54
64,2065,0,0,0,0.59
64,2070,0,0,0,0.64
64,2075,0,0,0,0.69
64,2080,0,0,0,0.74
64,2085,0,0,0,0.8
64,2090,0,0,0,0.87
64,2095,0,0,0,0.92
64,2100,0,0,0,0.99
68,1970,0,0,0,0.86
68,1975,0,0,0,0.87
68,1980,0,0,0,0.85
68,1985,0,0,0,0.83
68,1990,0,0,0,0.81
68,1995,0,0,0,0.8
68,2000,0,0,0,0.78
68,2005,0,0,0,0.74
68,2010,0,0,0,0.69
68,2015,0,0,0,0.65
68,2020,0,0,0,0.63
68,2025,0,0,0,0.63
68,2030,0,0,0,0.64
68,2035,0,0,0,0.63
68,2040,0,0,0,0.61
68,2045,0,0,0,0.6
68,2050,0,0,0,0.59
68,2055,0,0,0,0.59
68,2060,0,0,0,0.59
68,2065,0,0,0,0.58
68,2070,0,0,0,0.57
68,2075,0,0,0,0.56
68,2080,0,0,0,0.56
68,2085,0,0,0,0.56
68,2090,0,0,0,0.57
68,2095,0,0,0,0.58
68,2100,0,0,0,0.58
70,1970,0,0,0,0.65
70,1975,0,0,0,0.57
70,1980,0,0,0,0.5
70,1985,0,0,0,0.43
70,1990,0,0,0,0.43
70,1995,0,0,0,0.43
70,2000,0,0,0,0.45
70,2005,0,0,0,0.43
70,2010,0,0,0,0.41
70,2015,0,0,0,0.41
70,2020,0,0,0,0.45
70,2025,0,0,0,0.5
70,2030,0,0,0,0.55
70,2035,0,0,0,0.59
70,2040,0,0,0,0.63
70,2045,0,0,0,0.69
70,2050,0,0,0,0.77
70,2055,0,0,0,0.87
70,2060,0,0,0,0.92
70,2065,0,0,0,0.98
70,2070,0,0,0,1.01
70,2075,0,0,0,1.04
70,2080,0,0,0,1.1
70,2085,0,0,0,1.16
70,2090,0,0,0,1.22
70,2095,0,0,0,1.27
70,2100,0,0,0,1.31
72,1970,0,0,0,1.05
