"isono","year","sexno","ageno","eduno","podr"
208,2030,0,0,0,0.129
208,2035,0,0,0,0.129
208,2040,0,0,0,0.13
208,2045,0,0,0,0.132
208,2050,0,0,0,0.13
208,2055,0,0,0,0.126
208,2060,0,0,0,0.12
208,2065,0,0,0,0.114
208,2070,0,0,0,0.112
208,2075,0,0,0,0.115
208,2080,0,0,0,0.117
208,2085,0,0,0,0.118
208,2090,0,0,0,0.118
208,2095,0,0,0,0.118
214,2010,0,0,0,0.042
214,2015,0,0,0,0.043
214,2020,0,0,0,0.044
214,2025,0,0,0,0.048
214,2030,0,0,0,0.054
214,2035,0,0,0,0.061
214,2040,0,0,0,0.068
214,2045,0,0,0,0.075
214,2050,0,0,0,0.08
214,2055,0,0,0,0.085
214,2060,0,0,0,0.091
214,2065,0,0,0,0.097
214,2070,0,0,0,0.104
214,2075,0,0,0,0.112
214,2080,0,0,0,0.117
214,2085,0,0,0,0.123
214,2090,0,0,0,0.129
214,2095,0,0,0,0.133
218,2010,0,0,0,0.041
218,2015,0,0,0,0.043
218,2020,0,0,0,0.045
218,2025,0,0,0,0.05
218,2030,0,0,0,0.056
218,2035,0,0,0,0.063
218,2040,0,0,0,0.07
218,2045,0,0,0,0.077
218,2050,0,0,0,0.084
218,2055,0,0,0,0.092
218,2060,0,0,0,0.1
218,2065,0,0,0,0.108
218,2070,0,0,0,0.116
218,2075,0,0,0,0.122
218,2080,0,0,0,0.128
218,2085,0,0,0,0.133
218,2090,0,0,0,0.137
218,2095,0,0,0,0.141
222,2010,0,0,0,0.046
222,2015,0,0,0,0.049
222,2020,0,0,0,0.049
222,2025,0,0,0,0.051
222,2030,0,0,0,0.054
222,2035,0,0,0,0.059
222,2040,0,0,0,0.065
222,2045,0,0,0,0.073
222,2050,0,0,0,0.08
222,2055,0,0,0,0.087
222,2060,0,0,0,0.096
222,2065,0,0,0,0.106
222,2070,0,0,0,0.117
222,2075,0,0,0,0.13
222,2080,0,0,0,0.141
222,2085,0,0,0,0.144
222,2090,0,0,0,0.143
222,2095,0,0,0,0.142
226,2010,0,0,0,0.04
226,2015,0,0,0,0.041
226,2020,0,0,0,0.049
226,2025,0,0,0,0.062
226,2030,0,0,0,0.07
226,2035,0,0,0,0.074
226,2040,0,0,0,0.069
226,2045,0,0,0,0.065
226,2050,0,0,0,0.067
226,2055,0,0,0,0.074
226,2060,0,0,0,0.081
226,2065,0,0,0,0.089
226,2070,0,0,0,0.098
226,2075,0,0,0,0.108
226,2080,0,0,0,0.117
226,2085,0,0,0,0.126
226,2090,0,0,0,0.132
226,2095,0,0,0,0.139
231,2010,0,0,0,0.041
231,2015,0,0,0,0.042
231,2020,0,0,0,0.043
231,2025,0,0,0,0.043
231,2030,0,0,0,0.047
231,2035,0,0,0,0.05
231,2040,0,0,0,0.054
231,2045,0,0,0,0.06
231,2050,0,0,0,0.067
231,2055,0,0,0,0.075
231,2060,0,0,0,0.085
231,2065,0,0,0,0.095
231,2070,0,0,0,0.104
231,2075,0,0,0,0.11
231,2080,0,0,0,0.114
231,2085,0,0,0,0.12
231,2090,0,0,0,0.127
231,2095,0,0,0,0.133
232,2010,0,0,0,0.041
232,2015,0,0,0,0.037
232,2020,0,0,0,0.037
232,2025,0,0,0,0.034
232,2030,0,0,0,0.035
