"isono","year","sexno","ageno","eduno","etfr"
132,2010,2,0,3,2.56
132,2010,2,0,4,2.25
132,2010,2,0,5,1.92
132,2010,2,0,6,1.55
132,2010,2,0,7,1.36
140,2010,0,0,0,4.48
140,2010,0,0,2,4.72
140,2010,0,0,3,4.76
140,2010,0,0,4,4.34
140,2010,0,0,5,2.75
140,2010,0,0,6,2.26
140,2010,0,0,7,1.96
140,2010,2,0,0,4.48
140,2010,2,0,2,4.72
140,2010,2,0,3,4.76
140,2010,2,0,4,4.34
140,2010,2,0,5,2.75
140,2010,2,0,6,2.26
140,2010,2,0,7,1.96
144,2010,0,0,0,2.08
144,2010,0,0,2,2.58
144,2010,0,0,3,2.22
144,2010,0,0,4,2.08
144,2010,0,0,5,1.84
144,2010,0,0,6,1.63
144,2010,0,0,7,1.52
144,2010,2,0,0,2.08
144,2010,2,0,2,2.58
144,2010,2,0,3,2.22
144,2010,2,0,4,2.08
144,2010,2,0,5,1.84
144,2010,2,0,6,1.63
144,2010,2,0,7,1.52
148,2010,0,0,0,6.07
148,2010,0,0,2,6.17
148,2010,0,0,3,6.44
148,2010,0,0,4,5.63
148,2010,0,0,5,4.1
148,2010,0,0,6,3.02
148,2010,0,0,7,2.6
148,2010,2,0,0,6.07
148,2010,2,0,2,6.17
148,2010,2,0,3,6.44
148,2010,2,0,4,5.63
148,2010,2,0,5,4.1
148,2010,2,0,6,3.02
148,2010,2,0,7,2.6
152,2010,0,0,0,1.73
152,2010,0,0,2,2.45
152,2010,0,0,3,2.45
152,2010,0,0,4,2.45
152,2010,0,0,5,1.86
152,2010,0,0,6,1.55
152,2010,0,0,7,1.25
152,2010,2,0,0,1.73
152,2010,2,0,2,2.45
152,2010,2,0,3,2.45
152,2010,2,0,4,2.45
152,2010,2,0,5,1.86
152,2010,2,0,6,1.55
152,2010,2,0,7,1.25
156,2010,0,0,0,1.34
156,2010,0,0,2,1.45
156,2010,0,0,3,1.45
156,2010,0,0,4,1.45
156,2010,0,0,5,1.45
156,2010,0,0,6,1.2
156,2010,0,0,7,1.06
156,2010,2,0,0,1.34
156,2010,2,0,2,1.45
156,2010,2,0,3,1.45
156,2010,2,0,4,1.45
156,2010,2,0,5,1.45
156,2010,2,0,6,1.2
156,2010,2,0,7,1.06
170,2010,0,0,0,2.19
170,2010,0,0,2,3.63
170,2010,0,0,3,3.19
170,2010,0,0,4,2.63
170,2010,0,0,5,2.27
170,2010,0,0,6,1.86
170,2010,0,0,7,1.44
170,2010,2,0,0,2.19
170,2010,2,0,2,3.63
170,2010,2,0,3,3.19
170,2010,2,0,4,2.63
170,2010,2,0,5,2.27
170,2010,2,0,6,1.86
170,2010,2,0,7,1.44
174,2010,0,0,0,4.83
174,2010,0,0,2,5.74
174,2010,0,0,3,4.52
174,2010,0,0,4,5.18
174,2010,0,0,5,3.88
174,2010,0,0,6,1.62
174,2010,0,0,7,1.4
174,2010,2,0,0,4.83
174,2010,2,0,2,5.74
174,2010,2,0,3,4.52
174,2010,2,0,4,5.18
174,2010,2,0,5,3.88
174,2010,2,0,6,1.62
174,2010,2,0,7,1.4
175,2010,0,0,0,3.88
175,2010,0,0,2,4.66
175,2010,0,0,3,4.07
175,2010,0,0,4,3.6
175,2010,0,0,5,3.12
175,2010,0,0,6,2.62
175,2010,0,0,7,2.31
175,2010,2,0,0,3.88
175,2010,2,0,2,4.66
175,2010,2,0,3,4.07
175,2010,2,0,4,3.6
175,2010,2,0,5,3.12
175,2010,2,0,6,2.62
175,2010,2,0,7,2.31
178,2010,0,0,0,4.34
178,2010,0,0,2,5.76
178,2010,0,0,3,5.25
178,2010,0,0,4,4.46
178,2010,0,0,5,3.31
