"isono","year","sexno","ageno","eduno","e0"
36,2085,0,0,0,98.3
36,2090,0,0,0,99.3
36,2095,0,0,0,100.3
40,2010,1,0,0,78.8
40,2015,1,0,0,80.2
40,2020,1,0,0,81.5
40,2025,1,0,0,82.8
40,2030,1,0,0,84
40,2035,1,0,0,85.2
40,2040,1,0,0,86.4
40,2045,1,0,0,87.4
40,2050,1,0,0,88.4
40,2055,1,0,0,89.3
40,2060,1,0,0,90.3
40,2065,1,0,0,91.2
40,2070,1,0,0,92.2
40,2075,1,0,0,93.1
40,2080,1,0,0,94
40,2085,1,0,0,94.9
40,2090,1,0,0,95.8
40,2095,1,0,0,96.9
40,2010,2,0,0,84
40,2015,2,0,0,85.1
40,2020,2,0,0,86.3
40,2025,2,0,0,87.3
40,2030,2,0,0,88.5
40,2035,2,0,0,89.7
40,2040,2,0,0,90.9
40,2045,2,0,0,91.9
40,2050,2,0,0,92.9
40,2055,2,0,0,93.8
40,2060,2,0,0,94.7
40,2065,2,0,0,95.6
40,2070,2,0,0,96.6
40,2075,2,0,0,97.5
40,2080,2,0,0,98.4
40,2085,2,0,0,99.3
40,2090,2,0,0,100.2
40,2095,2,0,0,101.3
40,2010,0,0,0,81.5
40,2015,0,0,0,82.7
40,2020,0,0,0,84
40,2025,0,0,0,85.1
40,2030,0,0,0,86.3
40,2035,0,0,0,87.5
40,2040,0,0,0,88.6
40,2045,0,0,0,89.7
40,2050,0,0,0,90.7
40,2055,0,0,0,91.6
40,2060,0,0,0,92.5
40,2065,0,0,0,93.5
40,2070,0,0,0,94.4
40,2075,0,0,0,95.3
40,2080,0,0,0,96.2
40,2085,0,0,0,97.1
40,2090,0,0,0,98
40,2095,0,0,0,99.1
44,2010,1,0,0,72.8
44,2015,1,0,0,73.6
44,2020,1,0,0,74.5
44,2025,1,0,0,75.7
44,2030,1,0,0,77.2
44,2035,1,0,0,78.2
44,2040,1,0,0,79.1
44,2045,1,0,0,80
44,2050,1,0,0,81
44,2055,1,0,0,82.1
44,2060,1,0,0,83.1
44,2065,1,0,0,84.2
44,2070,1,0,0,85.4
44,2075,1,0,0,86.4
44,2080,1,0,0,87.5
44,2085,1,0,0,88.6
44,2090,1,0,0,89.7
44,2095,1,0,0,90.8
44,2010,2,0,0,78.9
44,2015,2,0,0,80
44,2020,2,0,0,80.9
44,2025,2,0,0,81.9
44,2030,2,0,0,82.9
44,2035,2,0,0,83.9
44,2040,2,0,0,84.7
44,2045,2,0,0,85.8
44,2050,2,0,0,86.8
44,2055,2,0,0,87.9
44,2060,2,0,0,88.9
44,2065,2,0,0,90
44,2070,2,0,0,91.1
44,2075,2,0,0,92.1
44,2080,2,0,0,93.1
44,2085,2,0,0,94.1
44,2090,2,0,0,95.2
44,2095,2,0,0,96.2
44,2010,0,0,0,76
44,2015,0,0,0,76.9
44,2020,0,0,0,77.8
44,2025,0,0,0,78.9
44,2030,0,0,0,80.2
44,2035,0,0,0,81.2
44,2040,0,0,0,82
44,2045,0,0,0,83
44,2050,0,0,0,84
44,2055,0,0,0,85
44,2060,0,0,0,86.1
44,2065,0,0,0,87.2
44,2070,0,0,0,88.3
44,2075,0,0,0,89.3
44,2080,0,0,0,90.4
44,2085,0,0,0,91.4
44,2090,0,0,0,92.5
44,2095,0,0,0,93.5
48,2010,1,0,0,75.4
48,2015,1,0,0,77.1
48,2020,1,0,0,78.3
48,2025,1,0,0,79.2
48,2030,1,0,0,80.1
48,2035,1,0,0,80.9
48,2040,1,0,0,81.7
48,2045,1,0,0,82.7
48,2050,1,0,0,83.7
48,2055,1,0,0,84.6
48,2060,1,0,0,85.6
48,2065,1,0,0,86.6
48,2070,1,0,0,87.7
48,2075,1,0,0,88.8
48,2080,1,0,0,89.8
48,2085,1,0,0,90.9
48,2090,1,0,0,91.8
48,2095,1,0,0,92.7
48,2010,2,0,0,76.8
48,2015,2,0,0,78.2
48,2020,2,0,0,79.5
48,2025,2,0,0,80.6
48,2030,2,0,0,81.8
48,2035,2,0,0,82.8
48,2040,2,0,0,83.7
48,2045,2,0,0,84.8
48,2050,2,0,0,85.8
48,2055,2,0,0,86.8
48,2060,2,0,0,87.8
48,2065,2,0,0,88.8
48,2070,2,0,0,89.9
48,2075,2,0,0,90.9
48,2080,2,0,0,91.9
48,2085,2,0,0,93
48,2090,2,0,0,94
48,2095,2,0,0,95
48,2010,0,0,0,76
48,2015,0,0,0,77.5
48,2020,0,0,0,78.7
48,2025,0,0,0,79.7
48,2030,0,0,0,80.7
48,2035,0,0,0,81.5
48,2040,0,0,0,82.4
48,2045,0,0,0,83.5
48,2050,0,0,0,84.4
48,2055,0,0,0,85.4
48,2060,0,0,0,86.5
48,2065,0,0,0,87.5
48,2070,0,0,0,88.6
48,2075,0,0,0,89.7
48,2080,0,0,0,90.8
48,2085,0,0,0,91.9
48,2090,0,0,0,92.9
48,2095,0,0,0,93.8
50,2010,1,0,0,68.8
50,2015,1,0,0,70.3
50,2020,1,0,0,71.6
50,2025,1,0,0,72.8
50,2030,1,0,0,74
50,2035,1,0,0,75
50,2040,1,0,0,76.1
50,2045,1,0,0,77.2
50,2050,1,0,0,78.4
