"isono","year","sexno","ageno","eduno","odr"
120,1975,0,0,0,0.07
120,1980,0,0,0,0.07
120,1985,0,0,0,0.06
120,1990,0,0,0,0.07
120,1995,0,0,0,0.07
120,2000,0,0,0,0.07
120,2005,0,0,0,0.06
120,2010,0,0,0,0.06
120,2015,0,0,0,0.06
120,2020,0,0,0,0.06
120,2025,0,0,0,0.06
120,2030,0,0,0,0.07
120,2035,0,0,0,0.07
120,2040,0,0,0,0.07
120,2045,0,0,0,0.08
120,2050,0,0,0,0.1
120,2055,0,0,0,0.11
120,2060,0,0,0,0.12
120,2065,0,0,0,0.13
120,2070,0,0,0,0.15
120,2075,0,0,0,0.17
120,2080,0,0,0,0.19
120,2085,0,0,0,0.2
120,2090,0,0,0,0.22
120,2095,0,0,0,0.24
120,2100,0,0,0,0.26
124,1970,0,0,0,0.13
124,1975,0,0,0,0.13
124,1980,0,0,0,0.14
124,1985,0,0,0,0.12
124,1990,0,0,0,0.17
124,1995,0,0,0,0.18
124,2000,0,0,0,0.18
124,2005,0,0,0,0.19
124,2010,0,0,0,0.2
124,2015,0,0,0,0.23
124,2020,0,0,0,0.27
124,2025,0,0,0,0.32
124,2030,0,0,0,0.37
124,2035,0,0,0,0.39
124,2040,0,0,0,0.4
124,2045,0,0,0,0.41
124,2050,0,0,0,0.42
124,2055,0,0,0,0.45
124,2060,0,0,0,0.48
124,2065,0,0,0,0.5
124,2070,0,0,0,0.51
124,2075,0,0,0,0.54
124,2080,0,0,0,0.56
124,2085,0,0,0,0.6
124,2090,0,0,0,0.63
124,2095,0,0,0,0.67
124,2100,0,0,0,0.71
132,1970,0,0,0,0.08
132,1975,0,0,0,0.09
132,1980,0,0,0,0.11
132,1985,0,0,0,0.09
132,1990,0,0,0,0.1
132,1995,0,0,0,0.1
132,2000,0,0,0,0.1
132,2005,0,0,0,0.1
132,2010,0,0,0,0.09
132,2015,0,0,0,0.08
132,2020,0,0,0,0.08
132,2025,0,0,0,0.1
132,2030,0,0,0,0.12
132,2035,0,0,0,0.15
132,2040,0,0,0,0.17
132,2045,0,0,0,0.2
132,2050,0,0,0,0.25
132,2055,0,0,0,0.3
132,2060,0,0,0,0.37
132,2065,0,0,0,0.41
132,2070,0,0,0,0.45
132,2075,0,0,0,0.48
132,2080,0,0,0,0.51
132,2085,0,0,0,0.55
132,2090,0,0,0,0.57
132,2095,0,0,0,0.6
132,2100,0,0,0,0.62
140,1970,0,0,0,0.07
140,1975,0,0,0,0.08
140,1980,0,0,0,0.08
140,1985,0,0,0,0.07
140,1990,0,0,0,0.08
140,1995,0,0,0,0.07
140,2000,0,0,0,0.07
140,2005,0,0,0,0.07
140,2010,0,0,0,0.07
140,2015,0,0,0,0.07
140,2020,0,0,0,0.07
140,2025,0,0,0,0.07
140,2030,0,0,0,0.06
140,2035,0,0,0,0.06
140,2040,0,0,0,0.07
140,2045,0,0,0,0.08
140,2050,0,0,0,0.09
140,2055,0,0,0,0.11
140,2060,0,0,0,0.12
140,2065,0,0,0,0.14
140,2070,0,0,0,0.15
140,2075,0,0,0,0.17
140,2080,0,0,0,0.18
140,2085,0,0,0,0.2
140,2090,0,0,0,0.22
140,2095,0,0,0,0.24
140,2100,0,0,0,0.26
144,1970,0,0,0,0.07
144,1975,0,0,0,0.07
144,1980,0,0,0,0.07
144,1985,0,0,0,0.07
144,1990,0,0,0,0.09
144,1995,0,0,0,0.1
144,2000,0,0,0,0.1
144,2005,0,0,0,0.11
144,2010,0,0,0,0.12
144,2015,0,0,0,0.15
144,2020,0,0,0,0.17
144,2025,0,0,0,0.2
144,2030,0,0,0,0.23
144,2035,0,0,0,0.26
144,2040,0,0,0,0.28
144,2045,0,0,0,0.32
144,2050,0,0,0,0.36
144,2055,0,0,0,0.38
144,2060,0,0,0,0.4
144,2065,0,0,0,0.42
144,2070,0,0,0,0.45
144,2075,0,0,0,0.49
144,2080,0,0,0,0.52
144,2085,0,0,0,0.55
144,2090,0,0,0,0.57
144,2095,0,0,0,0.58
144,2100,0,0,0,0.61
148,1970,0,0,0,0.07
148,1975,0,0,0,0.07
148,1980,0,0,0,0.07
148,1985,0,0,0,0.06
148,1990,0,0,0,0.07
148,1995,0,0,0,0.07
148,2000,0,0,0,0.06
148,2005,0,0,0,0.06
148,2010,0,0,0,0.06
148,2015,0,0,0,0.05
148,2020,0,0,0,0.05
148,2025,0,0,0,0.05
148,2030,0,0,0,0.05
148,2035,0,0,0,0.05
148,2040,0,0,0,0.06
148,2045,0,0,0,0.06
148,2050,0,0,0,0.07
148,2055,0,0,0,0.08
148,2060,0,0,0,0.08
148,2065,0,0,0,0.1
148,2070,0,0,0,0.11
148,2075,0,0,0,0.12
148,2080,0,0,0,0.14
148,2085,0,0,0,0.15
148,2090,0,0,0,0.17
148,2095,0,0,0,0.19
148,2100,0,0,0,0.21
152,1970,0,0,0,0.09
152,1975,0,0,0,0.09
152,1980,0,0,0,0.09
152,1985,0,0,0,0.08
152,1990,0,0,0,0.1
152,1995,0,0,0,0.1
152,2000,0,0,0,0.11
152,2005,0,0,0,0.12
152,2010,0,0,0,0.13
152,2015,0,0,0,0.15
152,2020,0,0,0,0.18
152,2025,0,0,0,0.22
152,2030,0,0,0,0.27
152,2035,0,0,0,0.32
152,2040,0,0,0,0.36
152,2045,0,0,0,0.38
152,2050,0,0,0,0.42
152,2055,0,0,0,0.48
152,2060,0,0,0,0.53
152,2065,0,0,0,0.57
152,2070,0,0,0,0.61
152,2075,0,0,0,0.64
152,2080,0,0,0,0.67
152,2085,0,0,0,0.71
152,2090,0,0,0,0.74
152,2095,0,0,0,0.77
152,2100,0,0,0,0.8
156,1970,0,0,0,0.07
156,1975,0,0,0,0.08
156,1980,0,0,0,0.09
156,1985,0,0,0,0.08
156,1990,0,0,0,0.09
156,1995,0,0,0,0.1
156,2000,0,0,0,0.1
156,2005,0,0,0,0.11
156,2010,0,0,0,0.11
156,2015,0,0,0,0.13
156,2020,0,0,0,0.17
156,2025,0,0,0,0.2
156,2030,0,0,0,0.24
156,2035,0,0,0,0.32
156,2040,0,0,0,0.39
156,2045,0,0,0,0.42
156,2050,0,0,0,0.46
156,2055,0,0,0,0.54
156,2060,0,0,0,0.6
156,2065,0,0,0,0.65
156,2070,0,0,0,0.69
156,2075,0,0,0,0.72
156,2080,0,0,0,0.74
156,2085,0,0,0,0.76
156,2090,0,0,0,0.77
156,2095,0,0,0,0.77
156,2100,0,0,0,0.78
170,1970,0,0,0,0.07
170,1975,0,0,0,0.07
170,1980,0,0,0,0.07
170,1985,0,0,0,0.06
170,1990,0,0,0,0.07
170,1995,0,0,0,0.07
170,2000,0,0,0,0.08
170,2005,0,0,0,0.08
170,2010,0,0,0,0.09
170,2015,0,0,0,0.1
170,2020,0,0,0,0.12
170,2025,0,0,0,0.14
170,2030,0,0,0,0.18
170,2035,0,0,0,0.21
170,2040,0,0,0,0.23
170,2045,0,0,0,0.26
170,2050,0,0,0,0.29
170,2055,0,0,0,0.32
170,2060,0,0,0,0.36
170,2065,0,0,0,0.39
170,2070,0,0,0,0.42
170,2075,0,0,0,0.45
170,2080,0,0,0,0.47
170,2085,0,0,0,0.5
170,2090,0,0,0,0.53
170,2095,0,0,0,0.56
170,2100,0,0,0,0.58
174,1970,0,0,0,0.06
174,1975,0,0,0,0.06
174,1980,0,0,0,0.06
174,1985,0,0,0,0.05
174,1990,0,0,0,0.06
174,1995,0,0,0,0.06
174,2000,0,0,0,0.05
174,2005,0,0,0,0.05
174,2010,0,0,0,0.05
174,2015,0,0,0,0.05
174,2020,0,0,0,0.05
174,2025,0,0,0,0.06
174,2030,0,0,0,0.06
174,2035,0,0,0,0.07
174,2040,0,0,0,0.08
174,2045,0,0,0,0.09
174,2050,0,0,0,0.1
174,2055,0,0,0,0.1
174,2060,0,0,0,0.11
174,2065,0,0,0,0.11
174,2070,0,0,0,0.13
174,2075,0,0,0,0.16
174,2080,0,0,0,0.17
174,2085,0,0,0,0.19
174,2090,0,0,0,0.2
174,2095,0,0,0,0.22
174,2100,0,0,0,0.24
175,1970,0,0,0,0.11
175,1975,0,0,0,0.1
175,1980,0,0,0,0.09
175,1985,0,0,0,0.06
175,1990,0,0,0,0.06
175,1995,0,0,0,0.06
175,2000,0,0,0,0.06
175,2005,0,0,0,0.06
175,2010,0,0,0,0.04
175,2015,0,0,0,0.04
175,2020,0,0,0,0.05
175,2025,0,0,0,0.06
175,2030,0,0,0,0.07
175,2035,0,0,0,0.09
175,2040,0,0,0,0.13
175,2045,0,0,0,0.16
175,2050,0,0,0,0.18
175,2055,0,0,0,0.19
175,2060,0,0,0,0.21
175,2065,0,0,0,0.23
175,2070,0,0,0,0.27
175,2075,0,0,0,0.35
175,2080,0,0,0,0.39
175,2085,0,0,0,0.42
175,2090,0,0,0,0.46
175,2095,0,0,0,0.51
175,2100,0,0,0,0.55
178,1970,0,0,0,0.07
178,1975,0,0,0,0.07
178,1980,0,0,0,0.07
178,1985,0,0,0,0.06
178,1990,0,0,0,0.07
178,1995,0,0,0,0.07
178,2000,0,0,0,0.07
178,2005,0,0,0,0.07
178,2010,0,0,0,0.07
178,2015,0,0,0,0.06
178,2020,0,0,0,0.06
178,2025,0,0,0,0.06
178,2030,0,0,0,0.07
178,2035,0,0,0,0.07
178,2040,0,0,0,0.08
178,2045,0,0,0,0.09
178,2050,0,0,0,0.1
178,2055,0,0,0,0.12
178,2060,0,0,0,0.13
178,2065,0,0,0,0.14
178,2070,0,0,0,0.16
178,2075,0,0,0,0.18
178,2080,0,0,0,0.2
178,2085,0,0,0,0.22
178,2090,0,0,0,0.24
178,2095,0,0,0,0.26
178,2100,0,0,0,0.29
180,1970,0,0,0,0.05
180,1975,0,0,0,0.05
180,1980,0,0,0,0.05
180,1985,0,0,0,0.05
180,1990,0,0,0,0.06
180,1995,0,0,0,0.06
180,2000,0,0,0,0.05
180,2005,0,0,0,0.05
180,2010,0,0,0,0.05
180,2015,0,0,0,0.05
180,2020,0,0,0,0.05
180,2025,0,0,0,0.05
180,2030,0,0,0,0.05
180,2035,0,0,0,0.05
180,2040,0,0,0,0.05
180,2045,0,0,0,0.06
180,2050,0,0,0,0.07
180,2055,0,0,0,0.07
180,2060,0,0,0,0.08
180,2065,0,0,0,0.1
180,2070,0,0,0,0.11
180,2075,0,0,0,0.12
180,2080,0,0,0,0.14
180,2085,0,0,0,0.16
180,2090,0,0,0,0.18
180,2095,0,0,0,0.2
180,2100,0,0,0,0.22
188,1970,0,0,0,0.09
188,1975,0,0,0,0.09
188,1980,0,0,0,0.08
188,1985,0,0,0,0.07
188,1990,0,0,0,0.08
188,1995,0,0,0,0.09
188,2000,0,0,0,0.09
188,2005,0,0,0,0.09
188,2010,0,0,0,0.1
188,2015,0,0,0,0.11
188,2020,0,0,0,0.13
188,2025,0,0,0,0.16
188,2030,0,0,0,0.2
188,2035,0,0,0,0.23
