"isono","year","sexno","ageno","eduno","bmys"
706,2060,0,0,0,8.5
706,2060,1,0,0,8.8
706,2060,2,0,0,8.1
706,2065,0,0,0,9
706,2065,1,0,0,9.3
706,2065,2,0,0,8.7
706,2070,0,0,0,9.4
706,2070,1,0,0,9.7
706,2070,2,0,0,9.2
706,2075,0,0,0,9.9
706,2075,1,0,0,10.1
706,2075,2,0,0,9.7
706,2080,0,0,0,10.3
706,2080,1,0,0,10.4
706,2080,2,0,0,10.1
706,2085,0,0,0,10.6
706,2085,1,0,0,10.7
706,2085,2,0,0,10.5
706,2090,0,0,0,10.9
706,2090,1,0,0,11.1
706,2090,2,0,0,10.8
706,2095,0,0,0,11.2
706,2095,1,0,0,11.3
706,2095,2,0,0,11.2
706,2100,0,0,0,11.5
706,2100,1,0,0,11.6
706,2100,2,0,0,11.5
710,1970,0,0,0,2.9
710,1970,1,0,0,3.2
710,1970,2,0,0,2.7
710,1975,0,0,0,3.3
710,1975,1,0,0,3.5
710,1975,2,0,0,3.1
710,1980,0,0,0,3.7
710,1980,1,0,0,3.9
710,1980,2,0,0,3.5
710,1985,0,0,0,4.1
710,1985,1,0,0,4.3
710,1985,2,0,0,3.9
710,1990,0,0,0,4.6
710,1990,1,0,0,4.7
710,1990,2,0,0,4.4
710,1995,0,0,0,5.1
710,1995,1,0,0,5.2
710,1995,2,0,0,5
710,2000,0,0,0,5.6
710,2000,1,0,0,5.7
710,2000,2,0,0,5.6
710,2005,0,0,0,6
710,2005,1,0,0,6
710,2005,2,0,0,6
710,2010,0,0,0,6.4
710,2010,1,0,0,6.4
710,2010,2,0,0,6.3
710,2015,0,0,0,6.9
710,2015,1,0,0,6.9
710,2015,2,0,0,6.9
710,2020,0,0,0,7.4
710,2020,1,0,0,7.5
710,2020,2,0,0,7.4
710,2025,0,0,0,7.9
710,2025,1,0,0,8
710,2025,2,0,0,7.9
710,2030,0,0,0,8.4
710,2030,1,0,0,8.4
710,2030,2,0,0,8.4
710,2035,0,0,0,8.9
710,2035,1,0,0,8.9
710,2035,2,0,0,8.9
710,2040,0,0,0,9.3
710,2040,1,0,0,9.3
710,2040,2,0,0,9.4
710,2045,0,0,0,9.7
710,2045,1,0,0,9.7
710,2045,2,0,0,9.8
710,2050,0,0,0,10.1
710,2050,1,0,0,10
710,2050,2,0,0,10.2
710,2055,0,0,0,10.5
710,2055,1,0,0,10.4
710,2055,2,0,0,10.5
710,2060,0,0,0,10.8
710,2060,1,0,0,10.7
710,2060,2,0,0,10.9
710,2065,0,0,0,11.1
710,2065,1,0,0,11
710,2065,2,0,0,11.2
710,2070,0,0,0,11.3
710,2070,1,0,0,11.2
710,2070,2,0,0,11.4
710,2075,0,0,0,11.6
710,2075,1,0,0,11.5
710,2075,2,0,0,11.7
710,2080,0,0,0,11.8
710,2080,1,0,0,11.7
710,2080,2,0,0,11.9
710,2085,0,0,0,12
710,2085,1,0,0,11.9
710,2085,2,0,0,12.1
710,2090,0,0,0,12.2
710,2090,1,0,0,12.1
710,2090,2,0,0,12.3
710,2095,0,0,0,12.4
710,2095,1,0,0,12.3
710,2095,2,0,0,12.4
710,2100,0,0,0,12.5
710,2100,1,0,0,12.4
710,2100,2,0,0,12.6
716,1970,0,0,0,1.8
716,1970,1,0,0,2.1
716,1970,2,0,0,1.5
716,1975,0,0,0,2.1
716,1975,1,0,0,2.4
716,1975,2,0,0,1.7
716,1980,0,0,0,2.4
716,1980,1,0,0,2.8
716,1980,2,0,0,2
716,1985,0,0,0,3
716,1985,1,0,0,3.4
716,1985,2,0,0,2.6
716,1990,0,0,0,3.6
716,1990,1,0,0,4
716,1990,2,0,0,3.2
716,1995,0,0,0,4.2
716,1995,1,0,0,4.6
716,1995,2,0,0,3.8
716,2000,0,0,0,4.9
716,2000,1,0,0,5.2
716,2000,2,0,0,4.5
716,2005,0,0,0,5.4
716,2005,1,0,0,5.7
716,2005,2,0,0,5
716,2010,0,0,0,5.9
716,2010,1,0,0,6.2
716,2010,2,0,0,5.6
716,2015,0,0,0,6.6
716,2015,1,0,0,6.8
716,2015,2,0,0,6.4
716,2020,0,0,0,7.3
716,2020,1,0,0,7.5
716,2020,2,0,0,7.1
716,2025,0,0,0,8
716,2025,1,0,0,8.1
716,2025,2,0,0,7.8
716,2030,0,0,0,8.6
716,2030,1,0,0,8.8
716,2030,2,0,0,8.5
716,2035,0,0,0,9.3
716,2035,1,0,0,9.3
716,2035,2,0,0,9.2
716,2040,0,0,0,9.8
716,2040,1,0,0,9.9
716,2040,2,0,0,9.7
716,2045,0,0,0,10.3
716,2045,1,0,0,10.3
716,2045,2,0,0,10.2
716,2050,0,0,0,10.7
716,2050,1,0,0,10.8
716,2050,2,0,0,10.7
716,2055,0,0,0,11.2
716,2055,1,0,0,11.2
716,2055,2,0,0,11.2
716,2060,0,0,0,11.6
716,2060,1,0,0,11.5
716,2060,2,0,0,11.6
716,2065,0,0,0,11.9
716,2065,1,0,0,11.9
716,2065,2,0,0,12
716,2070,0,0,0,12.2
716,2070,1,0,0,12.2
716,2070,2,0,0,12.3
716,2075,0,0,0,12.5
716,2075,1,0,0,12.5
716,2075,2,0,0,12.6
716,2080,0,0,0,12.8
716,2080,1,0,0,12.7
716,2080,2,0,0,12.8
716,2085,0,0,0,13
716,2085,1,0,0,13
716,2085,2,0,0,13.1
716,2090,0,0,0,13.3
716,2090,1,0,0,13.2
